1. ['巧克力', '「我们回来了～！」']
2. ['香草', '「回来了～」']
3. ['嘉祥', '「喔，妳们两个回来啦。」']
4. ['嘉祥', '「地点跟钱都没问题吧？」']
5. ['巧克力', '「那当然！这次的外送完美得很喔！」']
6. ['香草', '「顺利达成任务。Perfect。」']
7. ['巧克力', '「再怎么说，我们两个都是──」']
8. ['巧克力', '「优秀的带铃猫嘛♪」']
9. ['香草', '「只要有我们这两支带铃猫在，主人什么都不用担心。」']
10. ['None', '现在，巧克力跟香草脖子上各挂了一只闪闪发亮的全新铃铛。']
11. ['None', '巧克力的银色铃铛，']
12. ['None', '还有香草的金色铃铛。']
13. ['None', '只见挂著优秀猫娘证明的两人露出了得意的笑容。']
14. ['嘉祥', '「虽然成绩是低空飞过就是了。」']
15. ['巧克力', '「就算是低空飞过，及格还是及格呀♪」']
16. ['香草', '「我听人家说一次及格的机率只有５％左右，」']
17. ['香草', '「而且巧克力跟我还是史上最年轻的合格者。主人可以多称赞我们一点没关系。」']
18. ['嘉祥', '「我知道。妳们两个都是Soleil最棒的看板猫娘。」']
19. ['None', '说完，我像平常一样摸了摸两人的头。']
20. ['None', '其实，这次的外送是我偷偷请熟客帮忙下订的。']
21. ['None', '而为了以防万一，我不仅帮她们两个准备了手机，而且在她们出门以后还每隔几分钟就确认一次铃铛的GPS位置。']
22. ['None', '虽然也有想过要直接跟在她们背后，不过最后还是忍下来了。']
23. ['None', '明明是她们俩的第一次外送，结果我这个饲主却反而比本人还要不安呢……']
24. ['巧克力', '「路上我们有大声跟邻居们打招呼喔！」']
25. ['香草', '「身为这家店的活动看板，我们当然也有好好宣传。」']
26. ['香草', '「只要店里的营收增加，相信主人一定会帮我们准备奖赏吧？」']
27. ['巧克力', '「哇～♪那巧克力想要跟主人一起洗澡的权利！」']
28. ['巧克力', '「啊，不过能送几件新衣服给巧克力的话巧克力也会很高兴喔♪就算偶尔一次也没关系！」']
29. ['香草', '「我也想要新衣服。至于主人的变态兴趣我就多少忍耐一下吧。」']
30. ['嘉祥', '「我倒想问问妳，我什么时候有过变态兴趣了？」']
31. ['香草', '「身为带铃猫，我觉得这种时候应该要稍微装个傻比较好。」']
32. ['None', '妳们脖子上的铃铛应该不是搞笑艺人证照吧。']
33. ['None', '难道这也是在准备考试期间学来的？']
34. ['None', '不对，我记得香草好像打从一开始就是这个样子了。']
35. ['嘉祥', '「好吧，我会考虑的。不过妳们可别太期待喔？」']
36. ['巧克力', '「耶～！人家最喜欢主人了～！」']
37. ['香草', '「主人真慷慨……！」']
38. ['None', '至于洗澡权嘛，想都别想。']
39. ['None', '不过我要是真这么说的话一定会招来许多麻烦，所以还是别说出来比较好。']
40. ['巧克力', '「喵～♪不过，看到主人那么高兴真是太好了～♪」']
41. ['巧克力', '「『妳们两个都是Soleil最棒的看板猫娘。』」']
42. ['巧克力', '「讨厌啦～！巧克力都快被主人迷死了～♪」']
43. ['None', '「好痛！好痛！等等，就说很痛了啊！」']
44. ['香草', '「这样一来主人就变成没办法离开我们的体质了。」']
45. ['巧克力', '「真的喵！？不愧是铃铛，没想到威力这么强大！！」']
46. ['嘉祥', '「不要故意害巧克力误会好不好！」']
47. ['巧克力', '「我想也是……毕竟只不过是个铃铛而已嘛～啊哈哈……」']
48. ['香草', '「啊，巧克力突然泄气了。」']
49. ['嘉祥', '「所以我不是说了吗，搞笑艺人。」']
50. ['香草', '「因为她对主人的评价实在高过头了，这样刚好可以中和一下。」']
51. ['香草', '「反正过不了多久就会恢复原样，」']
52. ['香草', '「而且失望的巧克力也很可爱呀。」']
53. ['嘉祥', '「真是鬼灵精耶妳。」']
54. ['None', '不过我这次倒是完全同意香草。']
55. ['None', '没办法，谁叫巧克力失望的模样就是那么可爱呢。']
56. ['嘉祥', '「啊，我看材料好像不太够，只能趁休息时间去买了。」']
57. ['巧克力', '「买东西！巧克力也要去！跟主人一边血拼一边约会！！」']
58. ['香草', '「你看马上就恢复了吧。」']
59. ['嘉祥', '「要去的话就快点准备，不然没时间啰～」']
60. ['巧克力', '「好～我们马上去换衣服～♪」']
61. ['None', '今天的Soleil也是一如往常。']
62. ['巧克力', '「哎呀？今天那家章鱼烧还是没开耶。」']
63. ['香草', '「结果我们只有在开张前遇过她们一次呢。」']
64. ['嘉祥', '「人家说不定只在假日人潮多的时候开店啊。」']
65. ['巧克力', '「真想介绍那只小猫娘来我们店里玩呢。」']
66. ['香草', '「难得我还拿了小卡要来给她，真可惜。」']
67. ['嘉祥', '「反正迟早都能碰得见嘛。」']
68. ['嘉祥', '「又不是说以后都没时间见面了。」']
69. ['巧克力', '「就是说呀，时间还多得是嘛♪」']
70. ['香草', '「我们的战斗现在才正要开始呢。」']
71. ['None', '我们三个就这么穿过了平时见惯的公园。']
72. ['None', '今天这座海滨公园也吹著清凉的海风。']
73. ['巧克力', '「嗯～这里的风真舒服。巧克力很喜欢这里喔。」']
74. ['香草', '「久居则安，就算是新环境住久了也一样舒服。」']
75. ['None', '两只猫娘闭上眼，开始享受起这道带著些微海水味的徐徐微风。']
76. ['None', '这时我回过头，发现背后有条长椅。']
77. ['嘉祥', '「现在还有一点时间，要不要在这里休息一下？」']
78. ['巧克力', '「好啊好啊～♪休息一下再回去吧！」']
79. ['香草', '「那么我去买点喝的。看我是不是很勤勉？所以赏点零钱给我吧。」']
80. ['嘉祥', '「那可真是谢谢妳了，香草大小姐。」']
81. ['None', '将钱交给香草后，']
82. ['None', '这位自称勤勉的猫娘立刻踩著轻快的步伐跑向自动贩卖机。']
83. ['巧克力', '「之前我们也在这里休息过呢。」']
84. ['嘉祥', '「是啊，而且一样都是坐在这张椅子上。」']
85. ['None', '事情明明发生在搬家隔天而已，']
86. ['None', '现在回想起来却好像是很久很久以前的事了。']
87. ['嘉祥', '「当初要是我坚持一个人营业的话，现在不知道变得怎么样了呢。」']
88. ['巧克力', '「谁知道呢。」']
89. ['巧克力', '「不过唯一可以确定的是，现在再回头来想这个一点意义也没有。」']
90. ['None', '巧克力笑著朝我这里看过来。']
91. ['嘉祥', '「说得也对。已经过去的事情再怎么烦恼也没用嘛。」']
92. ['巧克力', '「巧克力不是这个意思喔？」']
93. ['嘉祥', '「妳说不是这个意思……」']
94. ['嘉祥', '「……那是什么意思？」']
95. ['None', '搞不懂她在说什么的我只能乖乖问道。']
96. ['None', '听完我的疑问，巧克力露出了小恶魔般的微笑。']
97. ['巧克力', '「因为不管发生什么事，巧克力都一定会待在主人身边呀。」']
98. ['巧克力', '「所以主人根本不需要去思考『只有一个人的话该怎么办』这种问题。」']
99. ['嘉祥', '「……巧克力。」']
100. ['None', '心脏重重跳了一下。']
101. ['None', '……我感到自己的脸开始发烫。']
102. ['None', '那道无比真诚的笑容，实在令我难以直视。']
103. ['None', '而就在我移开视线的瞬间，巧克力脖子上的银色铃铛映入了我的眼帘。']
104. ['None', '虽然我一直把巧克力当成自己的小女儿……不过，她似乎也已经长大不少了呢。']
105. ['None', '我又再度体会到这个理所当然的事实。']
106. ['None', '我深深吸了一口气，好让脸上的热度消退。']
107. ['嘉祥', '「嗯，麻烦妳今后也一直待在我身边吧。」']
108. ['嘉祥', '「只要有巧克力在，我随时都能够打起精神来。」']
109. ['None', '接著我坦率道出自己的感情，']
110. ['None', '并且用比平时还要温柔的力道摸了摸巧克力的头。']
111. ['巧克力', '「主、主人……！？咦……？啊……！」']
112. ['巧克力', '「…………！」']
113. ['嘉祥', '「嗯？巧克力妳怎么了？」']
114. ['巧克力', '「没、没没没……没事……！那个，真的没什么……！」']
115. ['嘉祥', '「妳说没什么，可是……」']
116. ['巧克力', '「是、是真的啦……！巧克力真的没事……！」']
117. ['巧克力', '「因为，主人身上……好像散发出一股甜甜的香味，让人家好像要融化一样……」']
118. ['嘉祥', '「甜甜的香味……咦？」']
119. ['None', '我往自己身上嗅了嗅，']
120. ['None', '结果当然什么香味都没闻到。']
121. ['巧克力', '「说甜甜的香味好像不太对……让人晕头转向？总之巧克力现在觉得全身轻飘飘的……」']
122. ['巧克力', '「可、可是巧克力不讨厌这种感觉哟？反而还有点开心……」']
123. ['巧克力', '「啊，这跟上次闻到木天蓼的感觉说不定有点像……啊呜呜～……」']
124. ['None', '吐出一道充满热情的叹息之后，']
125. ['None', '巧克力满脸通红地低著头，']
126. ['None', '用陶醉的眼神直直盯著我看。']
127. ['巧克力', '「主人……？巧克力……那个，会更、更加努力……」']
128. ['巧克力', '「为了让主人能够更有元气，巧克力会加油的……」']
129. ['None', '巧克力两手握在胸前，']
130. ['None', '垂下眉头对我发出撒娇般的声音。']
131. ['None', '……好像有点怪怪的。']
132. ['None', '我可以看得出她很高兴，不过她现在的模样总让人觉得好像正在忍耐些什么，']
133. ['None', '那是带点热情，却又和平时充满元气的巧克力完全不同的感觉……']
134. ['None', '简直就像──']
135. ['香草', '「巧克力？」']
136. ['巧克力＆香草', '「喵啊啊啊啊啊！？」']
137. ['嘉祥', '「呜哇！？」']
138. ['巧克力', '「吓、吓、吓死我了！！香草妳做什么啦喵！！」']
139. ['香草', '「喔喔大人，这可是天大的冤枉。」']
140. ['嘉祥', '「连、连我都被妳们俩的叫声吓到了……！」']
141. ['香草', '「谁叫妳们要把我支开，自己在这里打情骂俏。」']
142. ['嘉祥', '「我只不过是摸摸巧克力的头而已，这不是常有的事吗？」']
143. ['香草', '「味道不一样。别以为可以瞒得过猫娘的鼻子。嗅嗅。」']
144. ['香草', '「总之，我判断现在必须坐在主人跟巧克力中间比较好。麻烦让一让。」']
145. ['香草', '「如果不让位的话我就要来硬的了。具体来说就是直接坐在主人腿上。」']
146. ['嘉祥', '「先等一下，香草。这样很重耶。」']
147. ['香草', '「一点也不重。主人真没礼貌。」']
