1. ['巧克力', '「主人！店面附近有人影接近！」']
2. ['巧克力', '「进入战斗态势！大家准备好了吗!?」']
3. ['香草', '「不如先下手为强，直接去把人抓过来比较快。放心交给我吧。」']
4. ['嘉祥', '「给我等一下。现在才刚开店五分钟而已，别那么急啊。」']
5. ['None', '像是在寻找猎物一样，两只猫娘就这么躲在窗边不断朝外面张望。']
6. ['None', '虽说是新店开幕，不过这样一家小店当然不可能一开门就挤满客人。']
7. ['None', '所以我现在只能伫著头坐在柜台前，看看她们俩的背影打发时间而已。']
8. ['嘉祥', '「等客人进来再去招呼就好了啦。」']
9. ['嘉祥', '「才刚开始神经就紧绷成这样，等一下累了我可不管喔。」']
10. ['巧克力', '「香草妳看！走在那边那个女生！」']
11. ['巧克力', '「那张Sweets脸看起来一副就是很喜欢甜点的样子！」']
12. ['香草', '「喔喔，Sweets（笑）。不过巧克力，这个字不是用来称赞人用的，」']
13. ['香草', '「待会在客人面前妳可得多注意点。」']
14. ['嘉祥', '「没人在听我说话……」']
15. ['None', '我的话对她们俩来说似乎就跟耳边风差不多。']
16. ['None', '我知道她们很期待第一位客人上门，不过身为一个饲主，见到宠物对自己爱理不理的模样多少还是会有些无奈的。']
17. ['嘉祥', '「哎，反正才刚开始而已，只要耐心点──」']
18. ['女性客人', '「打扰了。」']
19. ['巧克力＆香草', '「翻、欢、翻迎光临────！！！」\n「欢、欢、欢迎、欢迎光临────！！」']
20. ['女性客人', '「咿呀！？怎、怎怎、怎怎怎怎么回事！？」']
21. ['巧克力', '「请、请请请问需要些什么呢！？」']
22. ['巧克力', '「啊，本店推荐的商品是那个，呃，就是那个……蛋糕！！」']
23. ['香草', '「还有……红茶有温的跟冰的……」']
24. ['香草', '「呃……还有热的，跟……跟冰的……!!」']
25. ['嘉祥', '「妳们两个冷静点。」']
26. ['None', '我上前把一见到客人进门就黏上去拼命推销的两只猫娘给拖到一旁。']
27. ['嘉祥', '「不好意思吓著您了。我是这家店的店长水无月，」']
28. ['嘉祥', '「有需要什么的话请参考这边的菜单慢慢选──」']
29. ['嘉祥', '「…………嗯嗯？」']
30. ['嘉祥', '「这……这位客人……？」']
31. ['女性客人', '「嗯嗯。不论是地点或店面配色都很不错，真是家好店。」']
32. ['女性客人', '「简单风格的装潢也跟店里摆设搭配得恰到好处！」']
33. ['None', '跟身材、脸型搭配起来明显过大的太阳眼镜。']
34. ['None', '时代错误的大正风斗篷跟军帽。']
35. ['None', '加上那副像是装出来的夸张口气，还有似曾相识的嗓音……']
36. ['女性客人', '「嗯，我喜欢！这家店的蛋糕我全买了！」']
37. ['女性客人', '「店长，帮我把所有蛋糕通通包起来。」']
38. ['女性客人', '「对了，应该可以刷卡吧？」']
39. ['嘉祥', '「别闹了。妳跑来这里干嘛啊，时雨。」']
40. ['时雨？', '「哈哈哈！时雨是哪位？你是不是把我跟什么人搞错啦？」']
41. ['嘉祥', '「什么哪位，不就是妳的名字吗。」']
42. ['时雨？', '「像你妹妹一样可爱又对哥哥专情的女孩子，怎么可能会特地跑到这里来呢！」']
43. ['时雨？', '「算了，既然你们今天刚开幕，我也不想打坏店里的气氛。刚刚的失礼我就不追究了。」']
44. ['嘉祥', '「既然如此，可以拜托妳别再演了吗？」']
45. ['嘉祥', '「还有，妳怎么会知道我的店在哪里？」']
46. ['嘉祥', '「我应该没有跟任何人说才对啊。」']
